id,word1,meaning1,word2,meaning2
1,accept,to agree to receive or do,except,not including
2,adverse,"unfavourable, harmful",averse,strongly disliking; opposed
3,advice,recommendations about what to do,advise,to recommend something
4,affect,to change or make a difference to,effect,a result; to bring about a result
5,aisle,a passage between rows of seats,isle,an island
6,all together,"all in one place, all at once",altogether,completely; on the whole
7,along,moving or extending horizontally on,a long,referring to something of great length
8,aloud,out loud,allowed,permitted
9,altar,a sacred table in a church,alter,to change
10,amoral,not concerned with right or wrong,immoral,not following accepted moral standards
11,appraise,to assess,apprise,to inform someone
12,assent,"agreement, approval",ascent,the action of rising or climbing up
13,aural,relating to the ears or hearing,oral,relating to the mouth; spoken
14,balmy,pleasantly warm,barmy,"foolish, crazy"
15,bare,naked; to uncover,bear,to carry; to put up with
16,bated,in phrase 'with ,baited,bated
17,bazaar,a Middle Eastern market,bizarre,strange
18,berth,"a bunk in a ship, train, etc.",birth,the emergence of a baby from the womb
19,born,having started life,borne,carried
20,bough,a branch of a tree,bow,to bend the head; the front of a ship
21,brake,a device for stopping a vehicle; to stop a vehicle,break,to separate into pieces; a pause
22,breach,"to break through, or break a rule; a gap",breech,the back part of a gun barrel
23,broach,to raise a subject for discussion,brooch,a piece of jewellery
24,canvas,a type of strong cloth,canvass,to seek people’s votes
25,censure,to criticize strongly,censor,to ban parts of a book or film; a person who does this
26,cereal ,a grass producing an edible grain; a breakfast food made from grains,serial,happening in a series
27,chord,a group of musical notes,cord,a length of string; a cord-like body part
28,climactic,forming a climax,climatic,relating to climate
29,coarse,rough,course,a direction; a school subject; part of a meal
30,complacent,smug and self-satisfied,complaisant,willing to please
31,complement,to add to so as to improve; an addition that improves something,compliment,to praise or express approval; an admiring remark
32,council,a group of people who manage or advise,counsel,advice; to advise
33,cue,a signal for action; a wooden rod,queue,a line of people or vehicles
34,curb,to keep something in check; a control or limit,kerb,(in British English) the stone edge of a pavement
35,currant,a dried grape,current,"happening now; a flow of water, air, or electricity"
36,defuse,to make a situation less tense,diffuse,to spread over a wide area
37,desert,"a waterless, empty area; to abandon someone",dessert,the sweet course of a meal
38,discreet,careful not to attract attention,discrete,separate and distinct
39,disinterested,impartial,uninterested,not interested
40,draught,a current of air,draft,a first version of a piece of writing
41,draw,an even score at the end of a game,drawer,a sliding storage compartment
42,dual,having two parts,duel,a fight or contest between two people
43,elicit,to draw out a reply or reaction,illicit,not allowed by law or rules
44,ensure,to make certain that something will happen,insure,to provide compensation if a person dies or property is damaged
45,envelop,to cover or surround,envelope,a paper container for a letter
46,exercise,physical activity; to do physical activity,exorcise,to drive out an evil spirit
47,fawn,a young deer; light brown,faun,"a mythical being, part man, part goat"
48,flaunt,to display ostentatiously,flout,to disregard a rule
49,flounder,to move clumsily; to have difficulty doing something,founder,to fail
50,forbear,to refrain,forebear,an ancestor
51,foreword,an introduction to a book,forward,"onwards, ahead"
52,freeze,to turn to ice,frieze,a decoration along a wall
53,grisly,"gruesome, revolting",grizzly,a type of bear
54,hoard,a store,horde,a large crowd of people
55,imply,to suggest indirectly,infer,to draw a conclusion
56,loath,"reluctant, unwilling",loathe,to hate
57,loose,to unfasten; to set free,lose,to be deprived of; to be unable to find
58,meter,a measuring device,metre,a metric unit; rhythm in verse
59,militate,to be a powerful factor against,mitigate,to make less severe
60,palate,the roof of the mouth,palette,a board for mixing colours
61,pedal,a foot-operated lever,peddle,to sell goods
62,pole,"a long, slender piece of wood",poll,voting in an election
63,pour,to flow or cause to flow,pore,a tiny opening; to study something closely
64,practice,"the use of an idea or method; the work or business of a doctor, dentist, etc.",practise,to do something repeatedly to gain skill; to do something regularly
65,prescribe,to authorize use of medicine; to order authoritatively,proscribe,to officially forbid something
66,principal,most important; the head of a school,principle,a fundamental rule or belief
67,sceptic,a person inclined to doubt,septic,infected with bacteria
68,sight,the ability to see,site,a location
69,stationary,not moving,stationery,writing materials
70,storey,a level of a building,story,a tale or account
71,titillate,to arouse interest,titivate,to make more attractive
72,tortuous,full of twists; complex,torturous,full of pain or suffering
73,wreath,a ring-shaped arrangement of flowers etc.,wreathe,to surround or encircle
74,yoke,a wooden crosspiece for harnessing a pair of oxen,yolk,the yellow center of an egg
